Issue ID,Issue Type,Summary,Parent,Description
E0,Epic,[필수] 설계 및 문제해결 전략 수립,,"ERD·API 명세·설계 의도·전략을 README로 정리 (완료)"
S0.1,Story,README 설계 문서 작성,E0,"설계/전략/기술선택 이유를 자기완결 문서로 작성"
E1,Epic,[필수] 프로젝트 셋업 및 공통 기반,,"의존성·프로파일·공통 응답/예외·시드·로컬 인프라"
S1.1,Story,Gradle 의존성 및 프로파일 구성,E1,"web/jpa/validation/kafka/mysql/h2 및 dev(MySQL)·test(H2) 프로파일"
S1.2,Story,공통 에러 응답 및 전역 예외 처리,E1,"{code,message} 형식 + @RestControllerAdvice + 에러코드 상수"
S1.3,Story,시드 데이터 및 초기 스키마,E1,"메뉴·사용자 시드, 스키마 생성 전략(flyway/ddl-auto)"
S1.4,Story,로컬 인프라 docker-compose(MySQL·Kafka),E1,"필수 기능용 인프라 기동 (Redis는 도전에서 추가)"
E2,Epic,[필수] 메뉴 조회,,"커피 메뉴 목록 조회 API"
S2.1,Story,메뉴 목록 조회 API,E2,"GET /api/menus 로 id·name·price 반환"
E3,Epic,[필수] 포인트 충전,,"포인트 충전 API 기본 구현"
S3.1,Story,포인트 충전 API,E3,"POST /api/points/charge 사용자·금액 입력받아 충전(1원=1P), 이력 기록"
E4,Epic,[필수] 주문 및 결제,,"주문/결제 + Kafka 실시간 전송(필수 3번)"
S4.1,Story,주문/결제 API,E4,"POST /api/orders 주문 생성·포인트 차감·주문항목 저장(단일 트랜잭션)"
S4.2,Story,주문 이벤트 Kafka 전송,E4,"주문 결제 후 order-events 토픽으로 주문내역 전송"
E5,Epic,[필수] 인기 메뉴,,"최근 7일 인기 메뉴 조회"
S5.1,Story,인기 메뉴 조회 API,E5,"GET /api/menus/popular 최근 7일 top3 정확 집계"
E6,Epic,[도전] 도전 요구사항,,"다수 인스턴스·동시성·데이터 일관성·테스트 (필수 위에 얹는 레이어)"
S6.1,Story,① 다수 인스턴스 무상태 설계,E6,"상태 외부화, 세션/로컬캐시 제거, 인스턴스 증설 안전성"
S6.2,Story,② 동시성 제어,E6,"포인트/주문에 비관적 락(SELECT FOR UPDATE) + Redis 분산락 적용"
S6.3,Story,③ 데이터 일관성,E6,"단일 트랜잭션+롤백, Kafka AFTER_COMMIT 발행, Outbox 확장, 롤백시 미발행"
S6.4,Story,④ 기능 및 제약 테스트,E6,"단위/슬라이스/통합(Testcontainers)/동시성/일관성 테스트 작성"
